一教,2400,1500,1
二教,2800,2140,1
三教,2900,2260,1
四教,2969,2208,1
理教,2800,1750,1
文史,2600,1600,1
地学,2600,1700,1
理科一号楼,2780,2000,6
理科五号楼,3100,2140,6
机房,2780,2000,6
综合科研楼,1845,2075,6
物理学院,3410,1480,6
化学楼,3500,1780,6
英杰,2912,1917,6
智华楼,2600,2100,6
图书馆,2324,1666,1
百讲,2400,2060,3
学一,1960,2573,2
家园,1960,2420,2
农园,2660,2300,2
松林,2014,2522,2
燕南,2350,1958,2
勺园,1600,1700,2
学五,1820,2280,2
艺园,1800,2400,2
佟园,1825,1859,2
37楼,2162,2752,4
39楼,2019,2755,4
瑞幸,2750,1620,3
肯德基,1477,2609,3
邱德拔,3100,2355,5
五四,2760,2435,5
二体,2014,1900,5
一体,2610,985,5
未名湖,2400,1100,3
校史馆,1670,1400,3
地铁站,3229,1638,7
29楼地下,2214,2351,7
31楼地下,2095,2410,7
45甲地下,1676,2180,7
康美乐健身房,2784,1900,7
全校,2379,1120,7
新太阳,2464,2300,7
镜春园,2074,626,7
鸣鹤园,1580,960,7
朗润园,2300,450,7
泊星地,2660,2300,7
静园,2000,1700,7
